Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,
Reflections on SOA and Microservices,Z. Xiao; I. Wijegunaratne; X. Qiang,NA; NA; NA,2016 4th International Conference on Enterprise Systems (ES),,2016,,,60,67,,,,10.1109/ES.2016.14,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7880473,service oriented architecture;microservice;API;enterprise architecture;architecture design pattern,Business;Service-oriented architecture;Computer architecture;Monitoring;Context;Architecture;Standards,application program interfaces;service-oriented architecture,microservices;SOA-aligned IT transformations;API;enterprise software component management,,,,,,,,,IEEE,IEEE Conferences,
DEVS Distributed Modeling Framework - A parallel DEVS implementation via microservices,R. Kewley; N. Kester; J. McDonnell,Dept of Systems Engineering; U.S. Military Academy; USA; Army Materiel Systems; Analysis Activity; USA; Dynamic Animaton Systems; USA,2016 Symposium on Theory of Modeling and Simulation (TMS-DEVS),,2016,,,1,8,,,,10.23919/TMS.2016.7918828,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7918828,DEVS;Parallel Discrete Event Simulation;Distributed Systems;Cloud Computing,Computational modeling;Cloud computing;Adaptation models;Weapons;Data models;Interoperability,cloud computing;discrete event simulation;Java;parallel processing;virtual machines,DEVS distributed modeling framework;parallel DEVS implementation;DEVS-DMF;simulation models;parallel microservices;distributed microservices;location transparency;Java virtual machine;cloud computing;parallel simulation test case;combat weapons simulator,,,,,,,,,IEEE,IEEE Conferences,
On the Definition of Microservice Bad Smells,D. Taibi; V. Lenarduzzi,Tampere University of Technology; Tampere University of Technology,IEEE Software,,2018,35,3,56,62,,,,10.1109/MS.2018.2141031,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8354414,microservice;antipattern;anti-pattern;code smell;architectural smell;bad smell;cloud computing;software development;software engineering,Interviews;Logic gates;Service computing;Software engineering;Software architecture;Cloud computing;Software development,cloud computing;public domain software;software architecture;software quality,microservice bad smells;architectural smells;code understandability;generic architectures;specific architectures;cloud-native applications;microservice-specific bad smells,,,,,,,,,IEEE,IEEE Journals & Magazines,
A Secure Microservice Framework for IoT,D. Lu; D. Huang; A. Walenstein; D. Medhi,NA; NA; NA; NA,2017 IEEE Symposium on Service-Oriented System Engineering (SOSE),,2017,,,9,18,,,,10.1109/SOSE.2017.27,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7943286,,Cloud computing;Access control;Containers;Medical services,application program interfaces;authorisation;Internet of Things;Web services,secure microservice framework;Internet of Things;Web service engineering circles;microservice architectures;IoT systems;microservices;API gateways;service distribution;uniform service discovery;access control;personal health management;connected autonomous vehicles,,,,,,,,,IEEE,IEEE Conferences,
Towards Recovering the Software Architecture of Microservice-Based Systems,G. Granchelli; M. Cardarelli; P. D. Francesco; I. Malavolta; L. Iovino; A. D. Salle,NA; NA; NA; NA; NA; NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,46,53,,,,10.1109/ICSAW.2017.48,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958455,Microservices;Architecture recovery;Model-Driven Engineering,Computer architecture;Containers;Data mining;Software;Reverse engineering;Software architecture;Ports (Computers),programming languages;service-oriented architecture;software maintenance;source code (software),microservice architectural style;developer scalability;developer maintainability;microservice-based software system;MicroART;model-driven engineering;domain-specific language;software architecture recovery;tool-chain;GitHub repository;source code;container engine,,,,,,,,,IEEE,IEEE Conferences,
Open Issues in Scheduling Microservices in the Cloud,M. Fazio; A. Celesti; R. Ranjan; C. Liu; L. Chen; M. Villari,University of Messina; University of Messina; Newcastle University; Newcastle University; IBM Research; University of Messina,IEEE Cloud Computing,,2016,3,5,81,88,,,,10.1109/MCC.2016.112,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7742215,microservices;federated clouds;Internet of Things;cloud computing;containers;service deployment,Cloud computing;Internet of things;Service computing;Runtime;Servers;Virtualization;Metasearch,cloud computing;Web services,open issues;scheduling;cloud computing;microservices architecture;distributed application;datacenter scalability;reliability,,,,,,,,,IEEE,IEEE Journals & Magazines,
Workload characterization for microservices,T. Ueda; T. Nakaike; M. Ohara,IBM Research - Tokyo IBM Japan; Ltd. Tokyo; Japan; IBM Research - Tokyo IBM Japan; Ltd. Tokyo; Japan; IBM Research - Tokyo IBM Japan; Ltd. Tokyo; Japan,2016 IEEE International Symposium on Workload Characterization (IISWC),,2016,,,1,10,,,,10.1109/IISWC.2016.7581269,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7581269,microservices;microservice architecture;Node.js;WebSphere Liberty;Java;Docker;container,Containers;Computer architecture;Java;Service-oriented architecture;Runtime;Cloud computing,cloud computing;Java;public domain software;software architecture;software prototyping;Web services,microservice workload characterization;microservice architecture;Web service;agile software development;cloud service providers;resource pressure;cloud infrastructure;Acme Air;open-source benchmark;Java;Node.js;network virtualization;Docker;optimization techniques,,,,,,,,,IEEE,IEEE Conferences,
A Case Study in Computational Caching Microservices for HPC,J. Jenkins; G. Shipman; J. Mohd-Yusof; K. Barros; P. Carns; R. Ross,NA; NA; NA; NA; NA; NA,2017 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW),,2017,,,1309,1316,,,,10.1109/IPDPSW.2017.40,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7965189,,Distributed processing;Conferences,interpolation;materials science computing;parallel processing;viscoplasticity,computational caching microservices;HPC;high-performance computing;microservice architecture;ExMatEx proxy application;CoEVP;co-designed embedded viscoplasticity scale-bridging;multiscale physics methods;interpolation-based memoization;microservice composition;database entries;large-scale memoization services,,,,,,,,,IEEE,IEEE Conferences,
Microservice-based architecture for the NRDC,V. D. Le; M. M. Neff; R. V. Stewart; R. Kelley; E. Fritzinger; S. M. Dascalu; F. C. Harris,Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America; Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America; Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America; Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America; Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America; Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America; Department of Computer Science and Engineering; University of Nevada; Reno; Reno; Nevada; United States of America,2015 IEEE 13th International Conference on Industrial Informatics (INDIN),,2015,,,1659,1664,,,,10.1109/INDIN.2015.7281983,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7281983,Microservice Architecture;Monolithic Architecture;Software Specifications;Design;Prototype Implementation;NRDC,Databases;Computer architecture;Servers;Graphical user interfaces;Prototypes;Software;Computer languages,computer centres;ecology;maintenance engineering;power system reliability;solar cell arrays;solar power;solar power stations;wastewater treatment,microservice-based architecture;NRDC;NSF EPSCOR funded solar nexus project;renewable solar energy;water consumption minimization;solar power plant;alternative wastewater method;solar panel;data center reliability;Nevada research data center maintainability,,,,,,,,,IEEE,IEEE Conferences,
Data-Driven Workflows for Microservices: Genericity in Jolie,L. Safina; M. Mazzara; F. Montesi; V. Rivera,NA; NA; NA; NA,2016 IEEE 30th International Conference on Advanced Information Networking and Applications (AINA),,2016,,,430,437,,,,10.1109/AINA.2016.95,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474121,Microservices;data-driven workflow;Jolie;genericity,Programming;Computer languages;Computer architecture;Servers;Protocols;Syntactics;Calculus,database languages;high level languages;service-oriented architecture;Web services;workflow management software,data-driven workflows;microservices;architectural style;service-oriented computing;programming language;Jolie systems;Jolie language;data manipulation;Web services,,,,,,,,,IEEE,IEEE Conferences,
Microservices in Practice; Part 2: Service Integration and Sustainability,C. Pautasso; O. Zimmermann; M. Amundsen; J. Lewis; N. Josuttis,University of Lugano; University of Applied Sciences of Eastern Switzerland; API Academy; ThoughtWorks; NA,IEEE Software,,2017,34,2,97,104,,,,10.1109/MS.2017.56,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7888407,microservices;service-oriented architecture;SOA;domain-driven design;DDD;enterprise service bus;HTTP;Mike Amundsen;James Lewis;Nicolai Josuttis;software engineering;software development,Service-oriented architecture;Protocols;Data models;Semantics;Sustainable development,service-oriented architecture;sustainable development,microservices;service integration;sustainability;service-oriented architecture;SOA,,,,,,,,,IEEE,IEEE Journals & Magazines,
From Monolith to Microservices: Lessons Learned on an Industrial Migration to a Web Oriented Architecture,J. Gouigoux; D. Tamzalit,NA; NA,2017 IEEE International Conference on Software Architecture Workshops (ICSAW),,2017,,,62,65,,,,10.1109/ICSAW.2017.35,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7958457,microservices;migration;Web Oriented Architecture,Computer architecture;Service-oriented architecture;Context;Couplings;Quality assurance,Internet;service-oriented architecture;software houses,industrial migration;Web oriented architecture;microservices;MGDIS SA;software editing company;core business software;monolithic architecture;context-adapted migration,,,,,,,,,IEEE,IEEE Conferences,
Research on Architecting Microservices: Trends; Focus; and Potential for Industrial Adoption,P. D. Francesco; I. Malavolta; P. Lago,NA; NA; NA,2017 IEEE International Conference on Software Architecture (ICSA),,2017,,,21,30,,,,10.1109/ICSA.2017.24,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7930195,Microservices;Software Architecture;Systematic Mapping Study,Data mining;Systematics;Market research;Service-oriented architecture;Computer architecture;Architecture,software architecture,microservices;industrial adoption;enterprise world;systematic mapping,,,,,,,,,IEEE,IEEE Conferences,
Deploying microservices for a cloud-based design of system-of-systems in intralogistics,A. Habl; O. Kipouridis; J. Fottner,Institute for Materials Handling; Material Flow; Logistics; Technical University of Munich; Munich; Germany; Institute for Materials Handling; Material Flow; Logistics; Technical University of Munich; Munich; Germany; Institute for Materials Handling; Material Flow; Logistics; Technical University of Munich; Munich; Germany,2017 IEEE 15th International Conference on Industrial Informatics (INDIN),,2017,,,861,866,,,,10.1109/INDIN.2017.8104885,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8104885,System of Systems;Microservices;Intralogistics;Cloud-based Design;DEVS,Tools;Service-oriented architecture;Collaboration;Cloud computing;Interoperability;Logistics,cloud computing;design engineering;logistics;service-oriented architecture;software architecture,system-of-systems;reconfigurable manufacturing;logistics facilities;heterogeneous intralogistics systems;interconnected intralogistics systems;individual system aspects;engineering design process;distributed simulation;testing;Discrete Event System Specification simulation framework;system configuration;interface specification;complex engineering task;autonomous intralogistics systems,,,,,,,,,IEEE,IEEE Conferences,
